flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
ARG1511_20180101,ARG1511,AR1511,e06442,LV-FQB,B738,SACO,SABE,SABE,,,,,,,,
DAL14_20180101,DAL14,DL14,a14c29,N183DN,B763,KATL,,EDDF,,,,,,,,
JBU263_20180108,JBU263,B6263,aa600a,N768JB,A320,KJFK,,KSEA,,,,,,,,
DAL65_20180108,DAL65,DL65,ab2855,N818NW,A333,KATL,KLAX,KLAX,,,,,,,,
EDW24_20180111,EDW24,WK24,4b1901,HB-JMF,A343,LSZH,LSZH,MMUN,LSZH,engine,return,unknown,4b382175,engine,return,unknown
ASA111_20180112,ASA111,AS111,a602ab,N487AS,B739,KLAS,,PANC,,,,,,,,
ONE8511_20180113,ONE8511,O68511,e4919d,PR-OCX,A332,KMIA,,SBGR,,,,,,,,
BAW882_20180115,BAW882,BA882,406532,G-EUYM,A320,EGLL,,UKBB,EDDT,medical,diverted,unknown,,,,
ENY3342_20180117,ENY3342,AA3342,a272b8,N257NN,E75L,KDFW,,KLIT,,,,,,,,
WJA506_20180122,WJA506,WS506,c0499b,C-GBWS,B736,CYXE,,CYYZ,,,,,,,,
ASA619_20180122,ASA619,AS619,a28a2c,N263AK,B739,KLAS,KSEA,KSEA,,,,,,,,
QXE2782_20180124,QXE2782,AS2782,a83920,N629QX,E75L,KSFO,,KMCI,,,,,,,,
WOW699_20180125,WOW699,WW699,4cc500,TF-NEO,A20N,LLBG,BIKF,BIKF,,,,,,,,
DAL2345_20180127,DAL2345,DL2345,a4462e,N3748Y,B738,KSMF,KATL,KATL,,,,,,,,
CPZ6043_20180129,CPZ6043,CP6043,a1ac11,N207AN,E75L,KLAX,KELP,KSAN,KELP,,,,,,,
PRW103_20180131,PRW103,6F103,45c265,OY-PSE,B738,BIKF,,GCTS,,,,,,,,
UAL979_20180201,UAL979,UA979,a8b760,N66057,B764,KEWR,SAEZ,SAEZ,,,,,,,,
BLX236_20180201,BLX236,6B236,4ac8d9,SE-RFY,B738,GCLP,EDDN,EFHK,EDDN,unclear,diverted,unknown,,,,
AFL111_20180204,AFL111,SU111,42423f,VP-BLY,A332,KMIA,,UUEE,,,,,,,,
AFR032_20180209,AFR032,AF32,3949e1,F-GSPB,B772,LFPO,LFPO,KJFK,LFPO,technical,return,unknown,4b4b9911,engine,return,unknown
AAL215_20180210,AAL215,AA215,ab436f,N825AA,B789,KLAX,,SBGR,,,,,,,,
BOS3_20180213,BOS3,BA8003,3982a8,F-HAVI,B752,LFPO,LFPO,KEWR,LFPO,unclear,return,unknown,,,,
UAL879_20180216,UAL879,UA879,aa9300,N78009,B772,EGLL,EGPH,KIAH,EGPH,medical,diverted,unknown,,,,
RRR4078_20180216,RRR4078,,43c5e9,ZM415,A400,,EGVN,,EGVN,unclear,return,unknown,,,,
